
[2020-02-22 18:31:24,504][exts.essentials]:Switching to invisible mode

[2020-02-22 18:31:25,023][exts.essentials]:Closing connection to discord

[2020-02-22 18:31:25,204][discord.gateway]:Websocket closed with 1000 (), cannot reconnect.

[2020-02-22 18:31:25,205][discord.client]:Cleaning up tasks.

[2020-02-22 18:31:25,206][discord.client]:Cleaning up after 2 tasks.

[2020-02-22 18:31:25,207][discord.client]:All tasks finished cancelling.

[2020-02-22 18:31:25,207][discord.client]:Closing the event loop.

[2020-02-22 18:38:23,003][utilities]:Innitalized utilities logger

[2020-02-22 18:38:23,003][help]:Innitalized help logger

[2020-02-22 18:38:23,005][config]:Innitalized config logger

[2020-02-22 18:38:23,006][__main__]:Initalized __main__ logger

[2020-02-22 18:38:23,006][discord]:Initalized discord's logger

[2020-02-22 18:38:23,007][exts.slapping]:Innitalized exts.slapping logger

[2020-02-22 18:38:23,008][exts.essentials]:Innitalized exts.essentials logger

[2020-02-22 18:38:23,009][exts.development]:Innitalized exts.development logger

[2020-02-22 18:38:23,009][exts.embedding]:Innitalized exts.embedding logger

[2020-02-22 18:38:23,010][exts.role]:Innitalized exts.role logger

[2020-02-22 18:38:23,012][exts.poll]:Innitalized exts.poll logger

[2020-02-22 18:38:23,013][exts.time]:Innitalized exts.time logger

[2020-02-22 18:38:23,014][discord.client]:logging in using static token

[2020-02-22 18:38:24,349][discord.gateway]:Created websocket connected to wss://gateway.discord.gg?encoding=json&v=6&compress=zlib-stream

[2020-02-22 18:38:24,352][discord.gateway]:Shard ID None has sent the IDENTIFY payload.

[2020-02-22 18:38:24,613][discord.gateway]:Shard ID None has connected to Gateway: ["gateway-prd-main-kcj8",{"micros":40650,"calls":["discord-sessions-prd-1-33",{"micros":38180,"calls":["start_session",{"micros":34127,"calls":["api-prd-main-ghp9",{"micros":30820,"calls":["get_user",{"micros":1975},"add_authorized_ip",{"micros":2933},"get_guilds",{"micros":2653},"coros_wait",{"micros":1}]}]},"guilds_connect",{"micros":2,"calls":[]},"presence_connect",{"micros":1,"calls":[]}]}]}] (Session ID: e0f9fee96ccf9ed3dd8f57c68e3eb3af).

[2020-02-22 18:38:26,615][exts.essentials]:Logged in as Test Bot#6948

[2020-02-22 18:40:54,411][exts.essentials]:Switching to invisible mode

[2020-02-22 18:40:54,964][exts.essentials]:Closing connection to discord

[2020-02-22 18:40:55,149][discord.gateway]:Websocket closed with 1000 (), cannot reconnect.

[2020-02-22 18:40:55,150][discord.client]:Cleaning up tasks.

[2020-02-22 18:40:55,151][discord.client]:Cleaning up after 2 tasks.

[2020-02-22 18:40:55,152][discord.client]:All tasks finished cancelling.

[2020-02-22 18:40:55,153][discord.client]:Closing the event loop.

[2020-02-22 18:47:27,075][utilities]:Innitalized utilities logger

[2020-02-22 18:47:34,199][utilities]:Innitalized utilities logger

[2020-02-22 18:47:34,200][help]:Innitalized help logger

[2020-02-22 18:47:34,201][config]:Innitalized config logger

[2020-02-22 18:47:34,201][__main__]:Initalized __main__ logger

[2020-02-22 18:47:34,201][discord]:Initalized discord's logger

[2020-02-22 18:47:34,202][exts.slapping]:Innitalized exts.slapping logger

[2020-02-22 18:47:34,203][exts.essentials]:Innitalized exts.essentials logger
